ID,Txid,Vout,Signature,PubKey,Value,PubKeyHash,TransactionID
0,zqKppinglCJcFliq67zamHyhVCmLTBrqXue1EsI/viM=,0,EW7wkfCl5yyGm/HkNP2iszH03BSS+7X+F2wwAhC+Z2ZMLSciL3xNx1m72D0o9hgUNLJMY33wPhf+DV6yvAqh/w==,MEXArzx3OgZevRnEfcgpyqVIQylAxrQSURj6C8tVPfWMM13zQ5BaLVx01T919xBse45Cx7qQXfnvM/ge5QBxgw==,1334.7369,igGBY7ubvEhf4Jsfr5NkhkPkUhg=,UIGDjPaZ9N+QTZfiivtyvyDK/hmeqL3X+MeT/TzROA8=
1,zqKppinglCJcFliq67zamHyhVCmLTBrqXue1EsI/viM=,0,EW7wkfCl5yyGm/HkNP2iszH03BSS+7X+F2wwAhC+Z2ZMLSciL3xNx1m72D0o9hgUNLJMY33wPhf+DV6yvAqh/w==,MEXArzx3OgZevRnEfcgpyqVIQylAxrQSURj6C8tVPfWMM13zQ5BaLVx01T919xBse45Cx7qQXfnvM/ge5QBxgw==,741.13904,xfaFpTzH+HttilRBtxAOlYnAni4=,UIGDjPaZ9N+QTZfiivtyvyDK/hmeqL3X+MeT/TzROA8=
2,,-1,,UmV3YXJkIHRvICcxRHFCa2J2amVBRnNNS2pBWjZkc0RmSzdlcnFyOTZuZTFyJw==,1.0,jL5zYGpBADKdONvdw8R96b1WTfI=,1zIiDB5Kk+jjOzZaepYdjV7vBtlDcjNkxRYnr7hp+UM=
3,NoMFET8iJE6tQAGvnZnakb6+22sWn4Ff8sAuAtPc/3c=,0,qfQFIZ1lRpaSUYlafa3GLdDwf/8KIFPmmHpBlpNm1OgHWOoUlwyjAvYa3jGBN04531pTxbqtZIk6vdUVwt6nDA==,9WEmfz8tub0tIPzWQEJD9undIDcP4Uyzk4ubCvYah33pOPPSGW6xnaj/AtCAUqt3smkkA6A8xPDPgSzIaGvSdw==,2380.1394,SBlT9D3a1hDkKrH+lfsOn1B5wts=,1XEtOWUySVaET6fMaA7FKYk/dTSWrpmzx/U5brKmO+g=
4,NoMFET8iJE6tQAGvnZnakb6+22sWn4Ff8sAuAtPc/3c=,0,qfQFIZ1lRpaSUYlafa3GLdDwf/8KIFPmmHpBlpNm1OgHWOoUlwyjAvYa3jGBN04531pTxbqtZIk6vdUVwt6nDA==,9WEmfz8tub0tIPzWQEJD9undIDcP4Uyzk4ubCvYah33pOPPSGW6xnaj/AtCAUqt3smkkA6A8xPDPgSzIaGvSdw==,110.954834,ZutDKKcaGfVdn8FGb03AOEnbMd8=,1XEtOWUySVaET6fMaA7FKYk/dTSWrpmzx/U5brKmO+g=
5,,-1,,UmV3YXJkIHRvICcxRHFCa2J2amVBRnNNS2pBWjZkc0RmSzdlcnFyOTZuZTFyJw==,1.0,jL5zYGpBADKdONvdw8R96b1WTfI=,1zIiDB5Kk+jjOzZaepYdjV7vBtlDcjNkxRYnr7hp+UM=
6,NoMFET8iJE6tQAGvnZnakb6+22sWn4Ff8sAuAtPc/3c=,0,cSo8/5Qw0Qr5PugyEue7GP56Tnkdxk/X/81MyUtlodG83+odrkKm6Nm4lkPfQyfWt5pa2GNt4hBW3gnufEUmSQ==,9WEmfz8tub0tIPzWQEJD9undIDcP4Uyzk4ubCvYah33pOPPSGW6xnaj/AtCAUqt3smkkA6A8xPDPgSzIaGvSdw==,2362.2957,xT1/xL4LykMfo3nSLM/mxy9sdCA=,h8exY8abGLDQ0FyuNkTVB/PAnSD8fxXeG0Jt8CFkYS0=
7,NoMFET8iJE6tQAGvnZnakb6+22sWn4Ff8sAuAtPc/3c=,0,cSo8/5Qw0Qr5PugyEue7GP56Tnkdxk/X/81MyUtlodG83+odrkKm6Nm4lkPfQyfWt5pa2GNt4hBW3gnufEUmSQ==,9WEmfz8tub0tIPzWQEJD9undIDcP4Uyzk4ubCvYah33pOPPSGW6xnaj/AtCAUqt3smkkA6A8xPDPgSzIaGvSdw==,128.79858,ZutDKKcaGfVdn8FGb03AOEnbMd8=,h8exY8abGLDQ0FyuNkTVB/PAnSD8fxXeG0Jt8CFkYS0=
8,,-1,,UmV3YXJkIHRvICcxRHFCa2J2amVBRnNNS2pBWjZkc0RmSzdlcnFyOTZuZTFyJw==,1.0,jL5zYGpBADKdONvdw8R96b1WTfI=,1zIiDB5Kk+jjOzZaepYdjV7vBtlDcjNkxRYnr7hp+UM=
9,jIxzc3eqf5YL7dCqeSvwLVD6siybBZgPvhG2HU5/R2M=,0,BSno1rSPRVs7+2bRm/zZErCmtQ6Iwtq1CeD0YMkEa8BQqeW5VozX9MEtvjr36x6p59XluqZahjjRM87hGSeTog==,MrNT1rzHwli28te3+x5jnZ+xlw5GNwzORPj537VPyIacRqdk1srynN++iHiIeh4Piv858fOEgy9t3Lp2M4lDLw==,4795.7896,MKFt5bT3pBHwLNMjwdCL+V8QJV0=,2qZnT7a27MjDR5y4TMfmyl2/k5Sxl3oilq/jnWDbUIc=
10,jIxzc3eqf5YL7dCqeSvwLVD6siybBZgPvhG2HU5/R2M=,0,BSno1rSPRVs7+2bRm/zZErCmtQ6Iwtq1CeD0YMkEa8BQqeW5VozX9MEtvjr36x6p59XluqZahjjRM87hGSeTog==,MrNT1rzHwli28te3+x5jnZ+xlw5GNwzORPj537VPyIacRqdk1srynN++iHiIeh4Piv858fOEgy9t3Lp2M4lDLw==,8528.965,tsfZ6e3dU+ImlpELlIayluBQ168=,2qZnT7a27MjDR5y4TMfmyl2/k5Sxl3oilq/jnWDbUIc=
11,,-1,,UmV3YXJkIHRvICcxRHFCa2J2amVBRnNNS2pBWjZkc0RmSzdlcnFyOTZuZTFyJw==,1.0,jL5zYGpBADKdONvdw8R96b1WTfI=,1zIiDB5Kk+jjOzZaepYdjV7vBtlDcjNkxRYnr7hp+UM=
12,0Bnwhx/BoH+eKLkvBHyGWc00eS27+DWIp7cigVLbZrs=,0,QZ4kQsQkcMSouuQk8Ve+wOIKXUHbBrrlDGcVQuwvq1RWBo8vbzt2cbfA98nPW2e3nNegnGOV28ul4mn6Yv96FA==,FZiYfbMgO5P83iJGap/jaF4qJ0nTBaeklVnwOw4svX6obk7EJ766gbJce4KGDMyXfs9Tj4SBcSAwl+u8sDEHSA==,1438.4836,MmSE6I/iROXQuUYUVTkH5WSY2oY=,n6Hfqq8AUIojk5OQ3dq67Uhl40w9WTG+IHfJpAWSlEI=
13,0Bnwhx/BoH+eKLkvBHyGWc00eS27+DWIp7cigVLbZrs=,0,QZ4kQsQkcMSouuQk8Ve+wOIKXUHbBrrlDGcVQuwvq1RWBo8vbzt2cbfA98nPW2e3nNegnGOV28ul4mn6Yv96FA==,FZiYfbMgO5P83iJGap/jaF4qJ0nTBaeklVnwOw4svX6obk7EJ766gbJce4KGDMyXfs9Tj4SBcSAwl+u8sDEHSA==,7319.743,6ZkFXgilVIMVA6ju7lhOEk+EtBQ=,n6Hfqq8AUIojk5OQ3dq67Uhl40w9WTG+IHfJpAWSlEI=
14,,-1,,UmV3YXJkIHRvICcxRHFCa2J2amVBRnNNS2pBWjZkc0RmSzdlcnFyOTZuZTFyJw==,1.0,jL5zYGpBADKdONvdw8R96b1WTfI=,1zIiDB5Kk+jjOzZaepYdjV7vBtlDcjNkxRYnr7hp+UM=
15,0Bnwhx/BoH+eKLkvBHyGWc00eS27+DWIp7cigVLbZrs=,0,enwaOWP+lsfvbDQmnDXaNUoDd6XBRW0j0vtTOxhNbZw0UQuwpCQbu75oGo1uRfKuKdcTCPO3lu1CC2soNTGVSw==,FZiYfbMgO5P83iJGap/jaF4qJ0nTBaeklVnwOw4svX6obk7EJ766gbJce4KGDMyXfs9Tj4SBcSAwl+u8sDEHSA==,4937.179,sKTVo6gUPzoEoZnJJHJ2oCV5rE8=,CPiYeZte9f9in+EZ+fGMk25IbpFtzd9nyew8MX06L/o=
16,0Bnwhx/BoH+eKLkvBHyGWc00eS27+DWIp7cigVLbZrs=,0,enwaOWP+lsfvbDQmnDXaNUoDd6XBRW0j0vtTOxhNbZw0UQuwpCQbu75oGo1uRfKuKdcTCPO3lu1CC2soNTGVSw==,FZiYfbMgO5P83iJGap/jaF4qJ0nTBaeklVnwOw4svX6obk7EJ766gbJce4KGDMyXfs9Tj4SBcSAwl+u8sDEHSA==,3821.0474,6ZkFXgilVIMVA6ju7lhOEk+EtBQ=,CPiYeZte9f9in+EZ+fGMk25IbpFtzd9nyew8MX06L/o=
17,,-1,,UmV3YXJkIHRvICcxRHFCa2J2amVBRnNNS2pBWjZkc0RmSzdlcnFyOTZuZTFyJw==,1.0,jL5zYGpBADKdONvdw8R96b1WTfI=,1zIiDB5Kk+jjOzZaepYdjV7vBtlDcjNkxRYnr7hp+UM=
18,zqKppinglCJcFliq67zamHyhVCmLTBrqXue1EsI/viM=,0,t0OUzCT7hqCoqn8tKF4Izh2KDIEb9rp12YKOQ7RwgghhO4Ri0kxvXOUL+b7ajL+CJiMzcj2M/SFrZ5mdSIb3cg==,MEXArzx3OgZevRnEfcgpyqVIQylAxrQSURj6C8tVPfWMM13zQ5BaLVx01T919xBse45Cx7qQXfnvM/ge5QBxgw==,1502.7484,eIctlUAMTulr+YOeM0BtTuhkfLk=,USz7xBD3cOhBMA/R7wlq3OCwWVTILZjtE8oZKKn9j1Y=
19,zqKppinglCJcFliq67zamHyhVCmLTBrqXue1EsI/viM=,0,t0OUzCT7hqCoqn8tKF4Izh2KDIEb9rp12YKOQ7RwgghhO4Ri0kxvXOUL+b7ajL+CJiMzcj2M/SFrZ5mdSIb3cg==,MEXArzx3OgZevRnEfcgpyqVIQylAxrQSURj6C8tVPfWMM13zQ5BaLVx01T919xBse45Cx7qQXfnvM/ge5QBxgw==,573.12756,xfaFpTzH+HttilRBtxAOlYnAni4=,USz7xBD3cOhBMA/R7wlq3OCwWVTILZjtE8oZKKn9j1Y=
20,,-1,,UmV3YXJkIHRvICcxRHFCa2J2amVBRnNNS2pBWjZkc0RmSzdlcnFyOTZuZTFyJw==,1.0,jL5zYGpBADKdONvdw8R96b1WTfI=,1zIiDB5Kk+jjOzZaepYdjV7vBtlDcjNkxRYnr7hp+UM=
21,0Bnwhx/BoH+eKLkvBHyGWc00eS27+DWIp7cigVLbZrs=,0,TPOUe/TvbtVLn1dNXbkFg4UFyf7OyOJVAJ1d9ULKraPpUR/KNihfllG+Snuq/sA3Eeo8jtp+kzHVv63xEgtBZQ==,FZiYfbMgO5P83iJGap/jaF4qJ0nTBaeklVnwOw4svX6obk7EJ766gbJce4KGDMyXfs9Tj4SBcSAwl+u8sDEHSA==,4003.6858,SBlT9D3a1hDkKrH+lfsOn1B5wts=,IA3NHhFIWis5QEIvN64FoMv6fM6Agv9a5dxmP5wRWvM=
